제목,브랜드,방,가격
프리모,신촌이대점 Room B,#여성전용 #셰어하우스,110 / 55만원 (1인실)
바다,연남동 : 1호 D Room,#여성전용 #셰어하우스,100 / 50만원 (1인실)
바다,연남동 : 2호 A Room,#여성전용 #셰어하우스,92 / 46만원 (2인실)
러브앤피스 쉐어하우스,아현점 러블리,#여성전용 #셰어하우스,100 / 38만원 (2인실)
우주,50호점 Room B,#남성전용 #셰어하우스,100 / 42만원 (2인실)
홈스케치,이대2호점 Room A,#성별무관 #셰어하우스,90 / 45만원 (1인실)
서로가 쉐어하우스,충정로점 Room F,#여성전용 #셰어하우스,50 / 39만원 (3인실)
자다,한성대_성대점 Room B,#여성전용 #셰어하우스,64 / 32만원 (2인실)
STORYHOUSE,낙타점 Room 3,#남성전용 #셰어하우스,28 / 28만원 (4인실)
함께,신촌역점 Room B,#여성전용 #셰어하우스,50 / 40만원 (1인실)
우주,92호점 Room B,#여성전용 #셰어하우스,102 / 43만원 (2인실)
달램쉐어하우스,이대2호점 이대2호B,#여성전용 #셰어하우스,50 / 33만원 (1인실)
Calm&Mood,혜화 20호점 Room105,#여성전용 #셰어하우스,100 / 42만원 (1인실)
우주,53호점 Room A,#여성전용 #셰어하우스,100 / 42만원 (2인실)
로이쉐어하우스,연남동점 1인실 B,#여성전용 #셰어하우스,50 / 50만원 (1인실)
동화,홍대점 Room A,#여성전용 #셰어하우스,70 / 70만원 (2인실)
엘르빌 셰어하우스,연남동점 2인실 B,#여성전용 #셰어하우스,45 / 40만원 (2인실)
노란숲,혜화 낙산공원점 2인실,#여성전용 #셰어하우스,100 / 40만원 (2인실)
쉐어니도(sharenido),홍대신촌 24도 A room,#남성전용 #셰어하우스,60 / 25만원 (4인실)
둥지,1호점 Room B,#여성전용 #셰어하우스,100 / 45만원 (2인실)
달램쉐어하우스,홍대입구점 2인실,#여성전용 #셰어하우스,600 / 18만원 (2인실)
잠자리,정릉역 : 21호점 Room A,#여성전용 #셰어하우스,104 / 47만원 (1인실)
디어(Dear) 쉐어하우스,홍대점 B룸 2인실,#여성전용 #셰어하우스,42 / 38만원 (2인실)
동거동락,3호 연세대점 B룸,#여성전용 #셰어하우스,94 / 43만원 (2인실)
자몽 셰어하우스,대학로점 405호,#여성전용 #셰어하우스,300 / 35만원 (2인실)
쉐어니도(sharenido),홍대신촌 17도 B ROOM,#남성전용 #셰어하우스,80 / 36만원 (2인실)
쉐어니도(sharenido),홍대신촌 13도 B ROOM,#여성전용 #셰어하우스,80 / 30만원 (2인실)
쉐어하우스 보통,아현 3호점 Room A,#여성전용 #셰어하우스,106 / 53만원 (1인실)
쉐어하우스 보통,아현 2호점 Room C,#여성전용 #셰어하우스,100 / 45만원 (2인실)
쉐어하우스 보통,아현점 Room C,#여성전용 #셰어하우스,106 / 53만원 (1인실)
세이프헤븐,DMC점 Room D,#여성전용 #셰어하우스,100 / 32만원 (1인실)
오후3시 쉐어하우스,홍대점 Room C,#남성전용 #셰어하우스,100 / 37만원 (1인실)
에덴 하우스,홍대점 Red room,#여성전용 #셰어하우스,110 / 55만원 (1인실)
하루 쉐어하우스,신촌점 301호실 2인실,#여성전용 #셰어하우스,35 / 35만원 (2인실)
쉐어니도(sharenido),홍대신촌 23도 A ROOM,#남성전용 #셰어하우스,60 / 27만원 (4인실)
포코 쉐어하우스,연남점 Aroom,#여성전용 #셰어하우스,80 / 40만원 (2인실)
코지 쉐어하우스,홍대입구역점 Room B,#여성전용 #셰어하우스,102 / 51만원 (1인실)
바다,상암동 집 Room B,#여성전용 #셰어하우스,88 / 44만원 (2인실)
쉐어니도(sharenido),홍대신촌 14도 D ROOM,#여성전용 #셰어하우스,70 / 35만원 (2인실)
쉐어니도(sharenido),홍대신촌 15도 C ROOM,#여성전용 #셰어하우스,100 / 45만원 (1인실)
플레몬 쉐어하우스,26호점(창천동) ROOM8,#성별무관 #셰어하우스,50 / 50만원 (1인실)
다락,허밍하우스 운치있는 1인실,#성별무관 #셰어하우스,50 / 37만원 (1인실)
굿밤하우스,홍대입구점 2층 2인실,#남성전용 #셰어하우스,5 / 25만원 (1인실)
STORYHOUSE,신촌점 Room 3,#여성전용 #셰어하우스,36 / 36만원 (2인실)
쉐어니도(sharenido),홍대신촌 18도 C ROOM,#여성전용 #셰어하우스,80 / 35만원 (2인실)
팸하우스,홍대입구점 ROOM B,#여성전용 #셰어하우스,100 / 37만원 (2인실)
쉐어니도(sharenido),홍대신촌 5도 A ROOM,#여성전용 #셰어하우스,60 / 26만원 (4인실)
쉐어니도(sharenido),홍대신촌 26도 A room,#남성전용 #셰어하우스,60 / 27만원 (4인실)
아띠 쉐어빌리지,소녀하우스 Room A,#여성전용 #셰어하우스,50 / 48만원 (1인실)
프렌즈,연남점 Room A,#여성전용 #셰어하우스,106 / 53만원 (1인실)
쉐어니도(sharenido),홍대신촌 7도 A ROOM,#여성전용 #셰어하우스,60 / 24만원 (4인실)
쉐어니도(sharenido),홍대신촌 31도 C ROOM,#여성전용 #셰어하우스,100 / 42만원 (1인실)
아띠 쉐어빌리지,컬러하우스 창천동점 Room B,#남성전용 #셰어하우스,50 / 37만원 (2인실)
(남성전용) 청춘시대,2호점 Room A,#남성전용 #셰어하우스,29 / 29만원 (4인실)
자다,메이플 성신여대점 Room C,#여성전용 #셰어하우스,84 / 42만원 (1인실)
엘리맘 쉐어하우스,이대점 1인실 큰방,#여성전용 #셰어하우스,100 / 48만원 (1인실)
홍마리오 하우스,이대역점 Room 2,#여성전용 #셰어하우스,70 / 39만원 (1인실)
홈스케치,홍대1호점 Room B,#성별무관 #셰어하우스,90 / 45만원 (1인실)
아이엠하우스,홍대 2호점 Room B - 큰 1인실,#여성전용 #셰어하우스,80 / 56만원 (1인실)
쉐어니도(sharenido),홍대신촌 11도 A ROOM,#남성전용 #셰어하우스,70 / 26만원 (3인실)
쉐어니도(sharenido),홍대신촌 29도 B ROOM,#여성전용 #셰어하우스,80 / 33만원 (2인실)
피클하우스,피클하우스 1번방,#성별무관 #셰어하우스,25 / 25만원 (2인실)
