제목,브랜드,방,가격
팸하우스,페퍼스하우스 충무로 5호점 C ROOM,#여성전용 #셰어하우스,100 / 47만원 (2인실)
팸하우스,페퍼스하우스 충무로 4호점 A ROOM,#여성전용 #셰어하우스,100 / 47만원 (2인실)
팸하우스,페퍼스하우스 충무로 3호점 B ROOM,#남성전용 #셰어하우스,100 / 44만원 (2인실)
팸하우스,동대입구 4호점 Room A,#여성전용 #셰어하우스,100 / 52만원 (1인실)
사람앤하우스,동묘점 Room B,#여성전용 #셰어하우스,92 / 46만원 (2인실)
함께꿈꾸는마을,남산소월03 Room D,#여성전용 #셰어하우스,80 / 40만원 (2인실)
쉐어하우스 신,공덕점 Room C,#여성전용 #셰어하우스,96 / 48만원 (2인실)
바다,합정동집 2호 Room B (1인실),#여성전용 #셰어하우스,110 / 55만원 (1인실)
일가 쉐어하우스,망원일가2-마포구청 102-2인실,#여성전용 #셰어하우스,150 / 43만원 (2인실)
어울림,망원1호점 2인실,#여성전용 #셰어하우스,100 / 35만원 (2인실)
아미띠에 쉐어하우스,마포점 Room A,#여성전용 #셰어하우스,50 / 50만원 (1인실)
팸하우스,동대입구 1호점 Room A,#남성전용 #셰어하우스,100 / 41만원 (1인실)
팸하우스,동대입구 2호점 Room A,#여성전용 #셰어하우스,100 / 41만원 (2인실)
젤리 쉐어하우스,합정점 Room B,#여성전용 #셰어하우스,600 / 33만원 (2인실)
Calm&Mood,숙대세번째 19호점 Room107,#여성전용 #셰어하우스,100 / 48만원 (1인실)
일가 쉐어하우스,4호점_합정/망원역점 102호 - 2인실 (트윈),#여성전용 #셰어하우스,150 / 45만원 (2인실)
포레스트(FOR REST),공덕역점 BOHOL,#여성전용 #셰어하우스,116 / 52만원 (1인실)
일가 쉐어하우스,3호점_합정/망원역점 102호 - 2인실 (트윈),#여성전용 #셰어하우스,150 / 45만원 (2인실)
어울림,합정4호점 1인실 B,#여성전용 #셰어하우스,100 / 50만원 (1인실)
코코쉐어하우스,효창동점 3인실,#여성전용 #셰어하우스,100 / 33만원 (3인실)
홈스케치,합정1호점 Room B,#성별무관 #셰어하우스,90 / 45만원 (1인실)
Urban square,청파점 Room A,#여성전용 #셰어하우스,90 / 46만원 (1인실)
동화,피클 공덕2호점 작은 1인실,#여성전용 #셰어하우스,100 / 35만원 (1인실)
어울림,합정2호점 2인실 큰방,#여성전용 #셰어하우스,100 / 40만원 (2인실)
공감,광흥창역점(서강) B룸 일인실,#남성전용 #셰어하우스,120 / 60만원 (1인실)
폼폼 쉐어하우스,망원점 Room-B,#여성전용 #셰어하우스,100 / 50만원 (1인실)
메리골드 셰어하우스,망원역점 Room B,#여성전용 #셰어하우스,50 / 45만원 (1인실)
브로콜리 하우스,망원 1호점 Room C,#남성전용 #셰어하우스,50 / 48만원 (1인실)
CS 쉐어하우스,망원 4호점 1인실,#여성전용 #셰어하우스,50 / 47만원 (1인실)
CS 쉐어하우스,망원 3호점 1인실,#여성전용 #셰어하우스,50 / 43만원 (1인실)
CS 쉐어하우스,망원 1호점 1인실,#여성전용 #셰어하우스,50 / 43만원 (1인실)
CS 쉐어하우스,망원 2호점 큰방 2인실,#여성전용 #셰어하우스,50 / 33만원 (2인실)
팸하우스,상수점 Room A,#여성전용 #셰어하우스,100 / 38만원 (2인실)
더합 쉐어하우스,합정점 Room A,#여성전용 #셰어하우스,42 / 42만원 (1인실)
바운드쉐어,망원한강점 1인실 A,#여성전용 #셰어하우스,100 / 55만원 (1인실)
제인스하우스,공덕점 C룸,#여성전용 #셰어하우스,36 / 72만원 (2인실)
코잠,7호점 2인실B,#여성전용 #셰어하우스,76 / 38만원 (2인실)
잇츠하우스,합정점 4인실,#여성전용 #셰어하우스,100 / 30만원 (4인실)
우주,56호점 Room B,#여성전용 #셰어하우스,104 / 44만원 (2인실)
응답하라2018,합정망원 남성하우스 Room A,#남성전용 #셰어하우스,74 / 37만원 (2인실)
응답하라2018,합정망원 여성하우스 여자2인실,#여성전용 #셰어하우스,80 / 40만원 (2인실)
바운드쉐어,망원중앙점 2인실B,#여성전용 #셰어하우스,100 / 42만원 (2인실)
잠자리,마포구청 : 8호점 Room B,#여성전용 #셰어하우스,86 / 43만원 (1인실)
드리밍 셰어하우스,마포구청점 1인실 C ROOM(중간방),#남성전용 #셰어하우스,43 / 38만원 (1인실)
일가 쉐어하우스,망원일가 Room 102호,#여성전용 #셰어하우스,100 / 39만원 (2인실)
MR. HOMES,홈즈스튜디오 원효로점 301호,#여성전용 #셰어하우스,60 / 60만원 (1인실)
홈스케치,합정3호점 Room C,#성별무관 #셰어하우스,90 / 45만원 (1인실)
쉐어하우스 소망,합정점 룸B,#여성전용 #셰어하우스,100 / 48만원 (1인실)
우주,73호점 Room B,#여성전용 #셰어하우스,122 / 53만원 (1인실)
폼폼 쉐어하우스,합정점 Room-B,#여성전용 #셰어하우스,100 / 50만원 (1인실)
CS 쉐어하우스,합정점 작은방 1인실,#여성전용 #셰어하우스,100 / 45만원 (1인실)
플레몬 쉐어하우스,30호점(망원동) 302,#성별무관 #셰어하우스,50 / 45만원 (1인실)
청년 쉐어하우스,합정점 룸2 2층침대 2인실,#남성전용 #셰어하우스,35 / 35만원 (2인실)
젤리 쉐어하우스,망원점 C Room,#여성전용 #셰어하우스,600 / 41만원 (1인실)
(남성전용) 청춘시대,1호점 Room C,#남성전용 #셰어하우스,37 / 37만원 (2인실)
동거동락,34호점 약수역점 B ROOM,#여성전용 #셰어하우스,110 / 45만원 (1인실)
꽃송이가家,망원합정점 Room B,#여성전용 #셰어하우스,82 / 41만원 (2인실)
플레몬 쉐어하우스,17호점 (합정동) Room C,#성별무관 #셰어하우스,50 / 38만원 (1인실)
꼬므,합정역 : 2호점 Room B,#여성전용 #셰어하우스,90 / 45만원 (2인실)
휘겔리 쉐어하우스,망원동점 여자 1인실,#여성전용 #셰어하우스,50 / 50만원 (1인실)
우주,59호점 Room C,#여성전용 #셰어하우스,91 / 34만원 (2인실)
우주,23호점 Room B,#여성전용 #셰어하우스,106 / 53만원 (1인실)
워크 앤 리브,이태원 2호점 C2,#여성전용 #셰어하우스,124 / 54만원 (1인실)
워크 앤 리브,이태원 1호점 룸 E,#여성전용 #셰어하우스,120 / 52만원 (1인실)
우주,88호점 Room A,#여성전용 #셰어하우스,120 / 51만원 (1인실)
원앤원하우스,월곡역동덕여대점 2인실b,#여성전용 #셰어하우스,150 / 34만원 (2인실)
하늘,고대 1호점 Room B,#여성전용 #셰어하우스,50 / 30만원 (2인실)
달램쉐어하우스,고대3호점(남성전용) B Room - 작은방,#남성전용 #셰어하우스,50 / 25만원 (1인실)
하늘,월곡역점 Room A,#여성전용 #셰어하우스,50 / 45만원 (1인실)
우주,48호점 Room C,#여성전용 #셰어하우스,100 / 42만원 (2인실)
우주,49호점 Room C,#여성전용 #셰어하우스,100 / 42만원 (2인실)
플레몬 쉐어하우스,14호점 (용두동) Room C,#여성전용 #셰어하우스,30 / 30만원 (3인실)
하늘,고대 2호점 Room C,#여성전용 #셰어하우스,50 / 40만원 (2인실)
휴플러스,고대점 Room B,#여성전용 #셰어하우스,100 / 33만원 (2인실)
쉐어하우스 하루,고려대점 Room C,#여성전용 #셰어하우스,36 / 36만원 (2인실)
마주봄 쉐어하우스,고대 7호점 C-ROOM,#여성전용 #셰어하우스,100 / 47만원 (1인실)
달램쉐어하우스,고대1호점 큰방,#여성전용 #셰어하우스,1000 / 29만원 (1인실)
논스톱쉐어하우스,제기동점 Room B,#남성전용 #셰어하우스,33 / 33만원 (2인실)
하늘,상월곡점 Room C,#여성전용 #셰어하우스,50 / 30만원 (3인실)
잠자리,신금호 : 10호점 Room B,#여성전용 #셰어하우스,70 / 35만원 (2인실)
왕십리 쉐어하우스,행당점 Room A,#여성전용 #셰어하우스,60 / 45만원 (1인실)
플레몬 쉐어하우스,28호점(이태원동) ROOM1,#성별무관 #셰어하우스,50 / 55만원 (1인실)
젤리 쉐어하우스,왕십리점 room A,#여성전용 #셰어하우스,600 / 29만원 (2인실)
바다,당산 한강 집 Room B,#여성전용 #셰어하우스,90 / 45만원 (2인실)
We Live,당산 2호점 스페인,#여성전용 #셰어하우스,100 / 49만원 (1인실)
자다,패밀리 한남점 Room F,#여성전용 #셰어하우스,76 / 38만원 (2인실)
서울쉐어하우스 공주,여의도점 Room 1,#여성전용 #셰어하우스,68 / 34만원 (3인실)
우리별 포디하우스,한남별 룸1(2인실),#여성전용 #셰어하우스,100 / 32만원 (2인실)
우리별 포디하우스,선유도별 룸2 (2인실),#여성전용 #셰어하우스,100 / 33만원 (2인실)
We Live,당산점 그린란드,#여성전용 #셰어하우스,100 / 50만원 (1인실)
휴먼,경희대점 3인실,#여성전용 #셰어하우스,100 / 34만원 (3인실)
GROUND 쉐어하우스,왕십리 A room,#여성전용 #셰어하우스,80 / 37만원 (4인실)
에이블하우스,왕십리 3호점 B1 B2,#여성전용 #셰어하우스,300 / 43만원 (2인실)
마루 쉐어하우스,왕십리역점 C방,#여성전용 #셰어하우스,84 / 42만원 (3인실)
더 집 쉐어하우스,왕십리점 Room C,#여성전용 #셰어하우스,50 / 35만원 (2인실)
쉐어하우스 청춘愛(애),여의도점 1인실 B,#여성전용 #셰어하우스,100 / 49만원 (1인실)
쉐어하우스 고리,광운대점 A,#여성전용 #셰어하우스,80 / 40만원 (1인실)
쉐어하우스 방긋,회기역점 Room A,#여성전용 #셰어하우스,150 / 48만원 (1인실)
팸하우스,선유도역점 ROOM A,#남성전용 #셰어하우스,100 / 38만원 (1인실)
원앤원하우스,경희대_외대점 Room B,#여성전용 #셰어하우스,150 / 37만원 (2인실)
에이블하우스,회기5호점 A1,#여성전용 #셰어하우스,300 / 53만원 (1인실)
에이블하우스,회기8호점 B1 B2,#여성전용 #셰어하우스,300 / 48만원 (2인실)
자몽 셰어하우스,노량진점 1층 Room D,#여성전용 #셰어하우스,300 / 42만원 (1인실)
쉐어필링스,노량진역 작은 1인실,#여성전용 #셰어하우스,150 / 36만원 (1인실)
슬리퍼 쉐어하우스,신이문점 Room A,#여성전용 #셰어하우스,104 / 47만원 (1인실)
뜰 쉐어하우스,영등포점 Room B,#여성전용 #셰어하우스,70 / 39만원 (2인실)
우주,58호점 Room A,#여성전용 #셰어하우스,118 / 51만원 (1인실)
우주,80호점 Room A,#여성전용 #셰어하우스,114 / 49만원 (1인실)
동거동락,1호 중앙대점 C룸,#여성전용 #셰어하우스,90 / 42만원 (2인실)
우주,57호점 Room C,#여성전용 #셰어하우스,104 / 44만원 (2인실)
에덴 하우스,목동 염창역점 Room B,#여성전용 #셰어하우스,50 / 25만원 (2인실)
별자리 쉐어하우스,장승배기점 Room B,#남성전용 #셰어하우스,100 / 45만원 (1인실)
잠자리,영등포구청 : 11호점 Room B,#여성전용 #셰어하우스,70 / 35만원 (2인실)
단담하우스,중앙대점 Room B,#여성전용 #셰어하우스,86 / 43만원 (2인실)
잠자리,영등포구청 : 17호점 Room B,#남성전용 #셰어하우스,94 / 47만원 (1인실)
푸른언덕,중앙대점 Room E,#여성전용 #셰어하우스,100 / 45만원 (1인실)
홈스케치,외대3호점 Room B,#여성전용 #셰어하우스,90 / 45만원 (1인실)
커먼타운,압구정 022 Room C,#여성전용 #셰어하우스,300 / 59만원 (2인실)
바다,외대 앞 집 Room A (3인실),#여성전용 #셰어하우스,72 / 36만원 (3인실)
수니하우스,뚝섬역점 Room B,#여성전용 #셰어하우스,100 / 54만원 (1인실)
Dream 쉐어하우스,영등포점 D,#여성전용 #셰어하우스,70 / 35만원 (3인실)
우리별 포디하우스,등촌역점 룸 3,#여성전용 #셰어하우스,100 / 34만원 (1인실)
가든 쉐어하우스,태릉입구점 2인실,#여성전용 #셰어하우스,70 / 30만원 (2인실)
팸하우스,뚝섬점 Room C,#남성전용 #셰어하우스,100 / 31만원 (4인실)
룸앤,상도점 파티룸,#여성전용 #셰어하우스,80 / 40만원 (2인실)
제인스하우스,문래점 A룸,#여성전용 #셰어하우스,66 / 34만원 (2인실)
플레몬 쉐어하우스,5호점 (문래동) Room C,#여성전용 #셰어하우스,50 / 30만원 (3인실)
바다,문래동집 2호 Room B,#여성전용 #셰어하우스,86 / 43만원 (2인실)
JustChill7 쉐어하우스,신사점 Room C,#남성전용 #셰어하우스,70 / 65만원 (1인실)
다락,주아하우스 #4 le monde,#성별무관 #셰어하우스,50 / 35만원 (1인실)
슬리퍼 쉐어하우스,숭실점 Room B,#여성전용 #셰어하우스,86 / 38만원 (2인실)
세이프헤븐,상도점 Room 202,#여성전용 #셰어하우스,100 / 48만원 (1인실)
스펙트럼 하우스,신사점 3층 301 Red Orange,#여성전용 #셰어하우스,130 / 55만원 (1인실)
스펙트럼 하우스,신사점 2층 201 Red,#여성전용 #셰어하우스,183 / 81만원 (1인실)
여기쯤 쉐어하우스,여기쯤 신사1호점 D룸,#여성전용 #셰어하우스,80 / 34만원 (2인실)
쉐어하우스 더뮤즈,신사역 가로수길점 Room C,#여성전용 #셰어하우스,82 / 41만원 (2인실)
율 하우스,문래점 Room B,#여성전용 #셰어하우스,74 / 37만원 (2인실)
쉐어필링스,숭실대점 2인실 작은방,#여성전용 #셰어하우스,100 / 32만원 (2인실)
우주,46호점 Room C,#여성전용 #셰어하우스,104 / 44만원 (2인실)
우주,44호점 Room A,#남성전용 #셰어하우스,74 / 29만원 (3인실)
우주,38호점 Room A,#여성전용 #셰어하우스,94 / 39만원 (2인실)
우주,37호점 Room C,#여성전용 #셰어하우스,100 / 42만원 (2인실)
낭만,양천향교역점 301호 B,#여성전용 #셰어하우스,150 / 50만원 (1인실)
모아,문래역점 Room C,#여성전용 #셰어하우스,110 / 55만원 (1인실)
여기쯤 쉐어하우스,여기쯤 신사3호점 B룸,#여성전용 #셰어하우스,80 / 28만원 (4인실)
가로수 쉐어하우스,신사역점 401호,#여성전용 #셰어하우스,88 / 35만원 (2인실)
륜하우스,마곡점 B룸,#여성전용 #셰어하우스,70 / 33만원 (2인실)
륜하우스,양천향교점 Room A,#여성전용 #셰어하우스,70 / 38만원 (2인실)
Singles ( 싱글즈 ),신사점 Room B,#여성전용 #셰어하우스,200 / 57만원 (1인실)
우주,96호점 Room H,#남성전용 #셰어하우스,82 / 33만원 (3인실)
쉐어하우스 까사,숭실대점 룸C,#여성전용 #셰어하우스,80 / 47만원 (1인실)
쉐어하우스 까사,숭실대2호점 룸C,#여성전용 #셰어하우스,80 / 47만원 (1인실)
GROUND 쉐어하우스,강남 Room B,#여성전용 #셰어하우스,100 / 49만원 (2인실)
로뎀나무,Joy하우스 논현점 C룸,#여성전용 #셰어하우스,80 / 33만원 (2인실)
소행주 특집,장안동점 Room C,#여성전용 #셰어하우스,150 / 39만원 (1인실)
마주공간 쉐어하우스,논현2호점 핑크개인룸,#여성전용 #셰어하우스,110 / 53만원 (1인실)
복덕방,압구정 1호점 개인실,#여성전용 #셰어하우스,90 / 57만원 (1인실)
복덕방,논현2호점 Room B,#여성전용 #셰어하우스,80 / 47만원 (1인실)
MOVHOUSE,논현2호점 C2,#여성전용 #셰어하우스,100 / 47만원 (2인실)
선녀방,신대방점 풀방,#여성전용 #셰어하우스,60 / 33만원 (2인실)
장안생활,장한평점 (장안동) A타입 724호,#성별무관 #셰어하우스,1000 / 52만원 (1인실)
자몽 셰어하우스,상도점 201호,#여성전용 #셰어하우스,300 / 30만원 (2인실)
세렘 쉐어하우스,신대방점 Room B,#여성전용 #셰어하우스,100 / 38만원 (1인실)
에이블하우스,성수 2호점 B1 B2,#여성전용 #셰어하우스,300 / 42만원 (2인실)
품안의 새,인셉션_신대방3거리역 Room ImP,#여성전용 #셰어하우스,56 / 28만원 (2인실)
쉐어하우스 미인,논현점 Room Ivory,#여성전용 #셰어하우스,85 / 42만원 (2인실)
제인스하우스,신도림점 B룸,#여성전용 #셰어하우스,70 / 35만원 (2인실)
양드레하우스,논현점 Room 1B,#여성전용 #셰어하우스,100 / 55만원 (1인실)
쉐어하우스 여행가,관악점 Room C,#여성전용 #셰어하우스,100 / 52만원 (1인실)
쉐어하우스 하슈,서울대입구/숭실대점 Room B,#성별무관 #셰어하우스,70 / 35만원 (2인실)
쉐어반,논현역점 Room A2,#여성전용 #셰어하우스,114 / 57만원 (1인실)
MOVHOUSE,논현점 2인실A,#여성전용 #셰어하우스,100 / 40만원 (2인실)
잠자리,논현역 : 26호점 Room B,#여성전용 #셰어하우스,114 / 57만원 (1인실)
LUMOS HOUSE,논현1호점 2인실B,#여성전용 #셰어하우스,100 / 45만원 (2인실)
테라스107,테라스107 Room 1,#여성전용 #셰어하우스,70 / 70만원 (1인실)
복덕방,논현1호점 Room A,#여성전용 #셰어하우스,100 / 57만원 (1인실)
강남다방 쉐어하우스,신논현점 Room D,#여성전용 #셰어하우스,100 / 50만원 (1인실)
팸하우스,에이치홈_신림점 401~503호,#여성전용 #셰어하우스,100 / 45만원 (1인실)
쉐어니도(sharenido),강남 17도 A ROOM,#남성전용 #셰어하우스,60 / 28만원 (4인실)
동그라미 쉐어하우스,청담 2호점 B 중간방,#성별무관 #셰어하우스,50 / 38만원 (1인실)
륜하우스,발산역점 Room B,#여성전용 #셰어하우스,70 / 35만원 (2인실)
복덕방,학동역1호점 1인실-b방,#여성전용 #셰어하우스,50 / 43만원 (1인실)
쉐어니도(sharenido),강남 6도 B room,#남성전용 #셰어하우스,80 / 38만원 (2인실)
동그라미 쉐어하우스,논현2호점 D룸 2인실,#남성전용 #셰어하우스,50 / 30만원 (1인실)
더 하임 쉐어하우스,청담점 A01,#여성전용 #셰어하우스,200 / 57만원 (1인실)
우주,27호점 Room B,#여성전용 #셰어하우스,106 / 53만원 (1인실)
복덕방,청담동1호점 하메 B,#여성전용 #셰어하우스,100 / 53만원 (1인실)
하피스,학동역점 Room C,#여성전용 #셰어하우스,100 / 48만원 (2인실)
(남성전용)라임 스페이스,반포점 ROOM-B(2인실),#남성전용 #셰어하우스,100 / 41만원 (2인실)
하비비 하우스,신논현점 B Type,#남성전용 #셰어하우스,100 / 44만원 (2인실)
MDP 쉐어하우스,신논현점 Room B,#여성전용 #셰어하우스,60 / 50만원 (2인실)
동거동락,24호 신논현점 C룸,#여성전용 #셰어하우스,122 / 52만원 (1인실)
(남성전용)라임 스페이스,신논현점 ROOM-1(1인),#남성전용 #셰어하우스,50 / 53만원 (1인실)
오플랫 쉐어하우스,오플랫 신논현점 Room1 : 2인실,#여성전용 #셰어하우스,80 / 45만원 (2인실)
젤리 쉐어하우스,청담점 room B,#여성전용 #셰어하우스,600 / 43만원 (1인실)
팸하우스,세종대 3호점(302) A ROOM,#여성전용 #셰어하우스,100 / 36만원 (2인실)
팸하우스,세종대 2호점(202호) B ROOM,#여성전용 #셰어하우스,100 / 39만원 (2인실)
제이 쉐어하우스,세종대점 3인실,#여성전용 #셰어하우스,38 / 38만원 (3인실)
쉐어니도(sharenido),강남4도 B room,#여성전용 #셰어하우스,100 / 46만원 (1인실)
잠자리,신림 : 4호점 Room B,#여성전용 #셰어하우스,84 / 42만원 (2인실)
쉐어니도(sharenido),강남 7도 C room,#남성전용 #셰어하우스,100 / 42만원 (1인실)
동그라미 쉐어하우스,학동역점 학동 B룸,#남성전용 #셰어하우스,50 / 43만원 (1인실)
여기쯤 쉐어하우스,여기쯤 논현2호점 C룸,#여성전용 #셰어하우스,80 / 34만원 (2인실)
쉐어하우스 더뮤즈,강남구청점 ROOM B,#여성전용 #셰어하우스,84 / 42만원 (4인실)
동네친구,8호점 B 2room,#여성전용 #셰어하우스,76 / 38만원 (2인실)
슈니하우스,건대 2호점 1인실-B,#여성전용 #셰어하우스,50 / 47만원 (1인실)
쉐어니도(sharenido),강남 8도 A room,#여성전용 #셰어하우스,60 / 31만원 (4인실)
세이프헤븐,이수점 Room C,#여성전용 #셰어하우스,100 / 36만원 (2인실)
복덕방,청담사거리점 2인실 A,#여성전용 #셰어하우스,100 / 44만원 (2인실)
포도 쉐어하우스,신논현점 A Room,#남성전용 #셰어하우스,90 / 43만원 (1인실)
편안한家 쉐어하우스,건대점 Room B (2인),#여성전용 #셰어하우스,100 / 43만원 (2인실)
청춘가,서울대입구 3호점 Room C,#여성전용 #셰어하우스,106 / 53만원 (1인실)
잠자리,신림 : 2호점 Room B,#여성전용 #셰어하우스,70 / 35만원 (2인실)
동네친구,4호점 B 2room,#여성전용 #셰어하우스,74 / 37만원 (2인실)
팸하우스,세종대점 Room C,#여성전용 #셰어하우스,100 / 34만원 (2인실)
우리집,건대_세종대점 Room A,#여성전용 #셰어하우스,100 / 53만원 (2인실)
하메 쉐어하우스,목동점(신정역) B룸 1인실,#여성전용 #셰어하우스,100 / 49만원 (1인실)
원더우먼 쉐어하우스,건대점 Room B,#여성전용 #셰어하우스,129 / 43만원 (1인실)
슬리퍼 쉐어하우스,대학동점 Room B,#여성전용 #셰어하우스,96 / 43만원 (1인실)
품안의 새,스위티_서울대입구역 1인실 ImL,#여성전용 #셰어하우스,80 / 40만원 (1인실)
셰어하우스 쉼,서울대입구역점 1인실 B,#여성전용 #셰어하우스,100 / 50만원 (1인실)
품안의 새,핏타팻_서울대입구역 Room ImB,#여성전용 #셰어하우스,76 / 38만원 (2인실)
원더우먼 쉐어하우스,니케 하우스 Room B,#여성전용 #셰어하우스,80 / 38만원 (2인실)
동거동락,21호 청담점 A룸,#여성전용 #셰어하우스,96 / 43만원 (2인실)
포그니 쉐어하우스,서울대입구역점 2인실 B,#여성전용 #셰어하우스,100 / 35만원 (2인실)
잠자리,서울대입구(3) : 25호점 Room A,#여성전용 #셰어하우스,110 / 55만원 (1인실)
동그라미 쉐어하우스,서울대입구역점 큰방,#남성전용 #셰어하우스,50 / 38만원 (2인실)
슈니하우스,건대점 2인실(화장대),#여성전용 #셰어하우스,50 / 35만원 (2인실)
쉐어하우스 이층집,신림역 1호점 C룸,#여성전용 #셰어하우스,100 / 37만원 (1인실)
쉐어하우스 이층집,건대역 2호점 E룸(3인실),#여성전용 #셰어하우스,100 / 35만원 (3인실)
그린,서울대입구역 2호점 room 2,#여성전용 #셰어하우스,100 / 47만원 (1인실)
동네친구,10호점 B 2room,#남성전용 #셰어하우스,100 / 39만원 (2인실)
쉐어필링스,신대방역점 Room B,#남성전용 #셰어하우스,100 / 47만원 (1인실)
잠자리,신대방 : 6호점 Room C,#남성전용 #셰어하우스,90 / 37만원 (2인실)
JAMI 쉐어하우스,대림점 2인실,#여성전용 #셰어하우스,100 / 33만원 (2인실)
동네친구,13호점 A(1인실)싱글침대1A,#남성전용 #셰어하우스,100 / 48만원 (1인실)
모니카 하우스,광진1호점 파라다이스 룸,#여성전용 #셰어하우스,100 / 44만원 (1인실)
쉐어니도(sharenido),강남 11도 B room,#여성전용 #셰어하우스,80 / 35만원 (2인실)
동그라미 쉐어하우스,남성역점 큰방,#남성전용 #셰어하우스,50 / 25만원 (2인실)
원더우먼 쉐어하우스,마망 하우스 Room B,#여성전용 #셰어하우스,100 / 43만원 (2인실)
슬리퍼 쉐어하우스,건대점 Room B,#여성전용 #셰어하우스,108 / 49만원 (1인실)
Calm&Mood,방배 23호점 Room411,#여성전용 #셰어하우스,200 / 48만원 (1인실)
단미하우스,까치산역점 Room B,#여성전용 #셰어하우스,64 / 32만원 (2인실)
율 하우스,서울대입구역점 Room C,#여성전용 #셰어하우스,86 / 43만원 (2인실)
그린,서울대입구역점 Room B,#여성전용 #셰어하우스,100 / 35만원 (2인실)
꼬므,대림역 : 1호점 Room C,#여성전용 #셰어하우스,80 / 35만원 (1인실)
아이엠 쉐어하우스,서울대입구역점 Room B,#여성전용 #셰어하우스,100 / 38만원 (2인실)
동네친구,6호점 B 2room,#여성전용 #셰어하우스,76 / 38만원 (2인실)
T house,방배점 Room B(3인),#남성전용 #셰어하우스,80 / 35만원 (3인실)
포그니 쉐어하우스,신림역점 1인실 A,#여성전용 #셰어하우스,45 / 45만원 (1인실)
도란도란하우스,신대방점 1인실[작은방],#여성전용 #셰어하우스,100 / 42만원 (1인실)
home 601,home601_강남 i룸,#여성전용 #셰어하우스,1000 / 50만원 (4인실)
슈니하우스,건대3호점 1인실-B,#여성전용 #셰어하우스,50 / 49만원 (1인실)
쉐어필링스,서울대입구역점 2인실방,#남성전용 #셰어하우스,100 / 30만원 (2인실)
자몽 셰어하우스,군자점 204호,#남성전용 #셰어하우스,300 / 38만원 (1인실)
우주,63호점 A방,#여성전용 #셰어하우스,106 / 45만원 (1인실)
카페인하우스,사가정역점(남성전용층) Room E,#남성전용 #셰어하우스,96 / 48만원 (1인실)
카페인하우스,사가정역점(여성전용층) Room A,#여성전용 #셰어하우스,56 / 28만원 (4인실)
품안의 새,어번_신림역 Room ImQ,#여성전용 #셰어하우스,90 / 45만원 (2인실)
품안의 새,나르샤_신림역 3인실,#여성전용 #셰어하우스,80 / 40만원 (3인실)
하품 (하우스 꿈을 품다),1호점 Jeanne D'Arc,#여성전용 #셰어하우스,1000 / 49만원 (4인실)
원앤원하우스,건대_세종대점 Room B,#여성전용 #셰어하우스,150 / 37만원 (2인실)
동네친구,9호점 B 1room,#여성전용 #셰어하우스,96 / 48만원 (1인실)
함께꿈꾸는마을,군자대공원 Room A,#여성전용 #셰어하우스,84 / 42만원 (2인실)
시작(SIZAK)쉐어하우스,이수/남성점 Room B,#여성전용 #셰어하우스,80 / 45만원 (1인실)
동네친구,7호점 B 2room,#여성전용 #셰어하우스,76 / 38만원 (2인실)
우주,28호점 Room C,#남성전용 #셰어하우스,106 / 45만원 (1인실)
우주,51호점 Room B,#여성전용 #셰어하우스,88 / 36만원 (3인실)
우주,82호점 Room B,#남성전용 #셰어하우스,88 / 36만원 (1인실)
우주,83호점 Room B,#여성전용 #셰어하우스,110 / 47만원 (1인실)
우주,84호점 Room F,#여성전용 #셰어하우스,112 / 48만원 (1인실)
젤리 쉐어하우스,봉천점 room A,#여성전용 #셰어하우스,1000 / 41만원 (1인실)
Little brown House,신림점 1인실B,#여성전용 #셰어하우스,80 / 45만원 (1인실)
(남성전용)라임 스페이스,역삼점 Room C,#남성전용 #셰어하우스,40 / 38만원 (2인실)
MOVHOUSE,강남DELUXE점 403,#여성전용 #셰어하우스,150 / 58만원 (1인실)
도란도란하우스,사당점 2인실,#여성전용 #셰어하우스,70 / 33만원 (2인실)
잠자리,서울대입구 : 1호점 Room B,#남성전용 #셰어하우스,110 / 55만원 (1인실)
팸하우스,건대 2호점 Room B,#여성전용 #셰어하우스,100 / 33만원 (2인실)
팸하우스,건대 3호점 C ROOM,#여성전용 #셰어하우스,100 / 40만원 (2인실)
달달 쉐어하우스,청담점 1인실 루이보스,#여성전용 #셰어하우스,108 / 54만원 (1인실)
이너프하우스,사당점 Room B,#여성전용 #셰어하우스,100 / 48만원 (1인실)
오아시스 쉐어하우스,건대 2호점 Room C,#여성전용 #셰어하우스,150 / 42만원 (4인실)
앤즈하우스,서울대입구역1 Room B,#여성전용 #셰어하우스,98 / 49만원 (1인실)
잠자리,낙성대역 : 20호점 Room B,#여성전용 #셰어하우스,98 / 49만원 (1인실)
동네친구,1호점 Room A,#여성전용 #셰어하우스,80 / 42만원 (2인실)
동네친구,5호점 B 2room,#여성전용 #셰어하우스,76 / 38만원 (2인실)
동네친구,3호점 B 3room,#여성전용 #셰어하우스,76 / 38만원 (3인실)
동네친구,2호점 Room B,#여성전용 #셰어하우스,76 / 38만원 (2인실)
쉐어니도(sharenido),강남 19도 B ROOM,#남성전용 #셰어하우스,80 / 33만원 (2인실)
No.1 쉐어하우스,삼성중앙역점 1인실B,#남성전용 #셰어하우스,100 / 50만원 (1인실)
쉐어하우스 리시안,사당역 2호 Room A,#여성전용 #셰어하우스,100 / 55만원 (1인실)
젤리 쉐어하우스,역삼점 room C,#여성전용 #셰어하우스,1000 / 41만원 (1인실)
