매물명,건물형태,방,화장실,층,전체면적,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
룸앤 상도점,빌라,3개,2개,3층,20평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 동작구 상도로17길 28
쉐어하우스 더뮤즈 강남구청점,기타,3개,2개,1층,54평,중앙난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,서울 강남구 선릉로129길 13-4
우주 18호점,아파트,4개,2개,28층,,개별난방,있음,가능,불가능,불가능,X,X,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,서울특별시 구로구 구로동로41길 21
레미하우스 강남점,빌라,3개,2개,6층,47평,개별난방,있음,가능,불가능,불가능,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 도곡로7길 19
라다팰리스 사회적주택(개봉동),빌라,3개,1개,2층,18평,개별난방,없음,가능,,불가능,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,서울특별시 구로구 고척로21가길 72
원더우먼 쉐어하우스 마망 하우스,단독주택,3개,1개,2층,22평,중앙난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 광진구 화양동 46-22번지
로이쉐어하우스 연남동점,빌라,5개,2개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 성미산로32길 21-1
모니카 하우스 잠실3호점,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 송파구 올림픽로32길 57-5
세이프헤븐 상도점,빌라,4개,2개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 동작구 양녕로 212
동그라미 쉐어하우스 개포점,빌라,3개,1개,,13평,중앙난방,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 논현로8길 62-5
휴먼 경희대점,아파트,3개,1개,15층,26평,개별난방,있음,가능,불가능,불가능,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,서울특별시 동대문구 이문로1길 21
우주 49호점,아파트,3개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 성동구 무학로 33
플레몬 쉐어하우스 21호점 (연남동),빌라,2개,1개,2층,18평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 동교로50길 24
동거동락 28A 방배점,기타,7개,2개,2층,19평,알수없음,없음,불가능,불가능,불가능,O,X,O,X,O,O,O,O,O,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,서울 서초구 방배로6길 18
가치 가톨릭대 정문 4호점,빌라,3개,2개,2층,19평,개별난방,없음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O,O,X,X,X,O,O,X,O,X,X,경기도 부천시 원미구 역곡동 52-1번지
동그라미 쉐어하우스 선릉점,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 역삼로69길 8
STORYHOUSE 신촌점,기타,3개,1개,1층,17평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,서울 서대문구 신촌로11길 11-34
애플트리 쉐어하우스 미아사거리역 1호점,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,O,서울특별시 강북구 도봉로10다길 7-13
홈스케치 연희점,빌라,3개,1개,1층,27평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 서대문구 증가로 30
방배웰빙쉐어하우스 사당역 2호점,기타,3개,1개,3층,17평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,서울 서초구 도구로1길 74-4
우주 53호점,기타,4개,2개,,,중앙난방,없음,알수없음,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,서울특별시 마포구 성미산로29길 17-9
마주봄 쉐어하우스 아현 1호점,빌라,3개,1개,6층,24평,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,서울특별시 서대문구 북아현로4길 9-7
동네친구 8호점,빌라,3개,2개,,24평,개별난방,알수없음,알수없음,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,서울특별시 광진구 광나루로14길 36-5
플레몬 쉐어하우스 3호점 (북가좌동),아파트,3개,2개,6층,33평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,서울특별시 서대문구 수색로 100
플래닛디 하우스 플래닛디 하우스,빌라,3개,2개,2층,21평,개별난방,있음,,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,경기 부천시 경인로274번길 37
레피네하우스 명동2호점,빌라,2개,1개,5층,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 중구 소공로6가길 24
마주봄 쉐어하우스 고대 7호점,기타,4개,1개,19층,25평,알수없음,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,서울 동대문구 고산자로 534
팸하우스 건대 3호점,빌라,4개,2개,,,개별난방,없음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,서울특별시 광진구 광나루로22나길 1
코잠 7호점,아파트,3개,2개,6층,32평,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,서울특별시 성북구 종암로9길 71
아띠 쉐어빌리지 브루하우스 영등포구청역점,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,서울특별시 영등포구 당산동4가 37-1번지
동거동락 15호 서울대입구역점,아파트,4개,2개,,35평,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 관악구 남부순환로 1811
하품 하우스 꿈을 꾸다,단독주택,12개,8개,,71평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X,O,O,O,X,O,서울특별시 강남구 테헤란로5길 51-13
보더리스하우스 홍대 디엠씨3,아파트,3개,2개,4층,45평,개별난방,없음,알수없음,불가능,불가능,X,O,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 은평구 역말로 110
품안의 새 인셉션_신대방3거리역,빌라,3개,2개,2층,27평,개별난방,없음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,서울특별시 관악구 당곡6라길 26-5
팸하우스 세종대점,빌라,3개,2개,,14평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,서울특별시 광진구 동일로56길 42
팸하우스 페퍼스하우스 충무로 1호점,빌라,2개,1개,2층,20평,개별난방,있음,가능,불가능,,X,O,X,X,O,O,O,X,X,X,O,O,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 중구 필동로8길 42
마주공간 쉐어하우스 합정역점,빌라,3개,1개,1층,61평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울특별시 마포구 독막로4길 15-3
구름 백석역점,,2개,1개,8층,18평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,X,O,O,X,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,경기도 고양시 일산동구 중앙로 1047
동그라미 쉐어하우스 서울대입구역점,빌라,2개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,X,O,O,X,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,서울특별시 관악구 중앙1나길 9-4
세기 하우스 봉천점,빌라,3개,1개,2층,17평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울 관악구 남부순환로228길 74
여기쯤 쉐어하우스 여기쯤 신사1호점,빌라,5개,2개,3층,54평,개별난방,없음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,X,X,X,O,O,O,O,X,O,서울 강남구 논현로155길 26-5
동거동락 22호 홍대입구역점,기타,4개,2개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 와우산로35길 39
왕십리 쉐어하우스 행당점,빌라,2개,1개,2층,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 성동구 왕십리로21마길 22
시작(SIZAK)쉐어하우스 이수/남성점,빌라,3개,1개,4층,30평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 동작구 사당로20나길 2
모던 하우스 암사역점,빌라,5개,5개,,,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울특별시 강동구 고덕로20다길 14-1
소담 쉐어하우스 홍대 1호점,빌라,2개,1개,,12평,개별난방,없음,가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울특별시 마포구 와우산로26길 56
핵이 하우스 태릉입구역점,빌라,2개,1개,,49평,개별난방,없음,알수없음,가능,가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,서울특별시 중랑구 숙선옹주로 29-1
CNT홈셰어링 4호점,기타,3개,1개,4층,25평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,O,X,X,X,O,X,X,O,X,O,서울특별시 서대문구 증가로 250
함께꿈꾸는마을 남산소월01,빌라,4개,2개,1층,25평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,X,X,O,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,서울 용산구 두텁바위로58길 28
장안생활 장한평점 (장안동),,32개,32개,4층,5평,개별난방,있음,가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 동대문구 천호대로89길 9
하모하우스 서강대점_남성,빌라,3개,2개,1층,42평,개별난방,없음,불가능,불가능,불가능,O,O,X,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,O,서울특별시 마포구 백범로21길 23
우리별 포디하우스 등촌역점,빌라,3개,1개,1층,17평,개별난방,없음,가능,불가능,불가능,O,O,X,X,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울 강서구 등촌로55길 33-3
달램쉐어하우스 논현4호점,기타,2개,1개,3층,20평,알수없음,없음,불가능,불가능,불가능,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울 서초구 주흥13길 31
바다 성산동집,,13개,13개,4층,,개별난방,없음,가능,불가능,불가능,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 성미산로5길 9
잠자리 서울대입구(3) : 25호점,빌라,3개,1개,,16평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X,O,O,X,서울특별시 관악구 봉천로49다길 26
그린 서울대입구역 2호점,빌라,3개,1개,4층,20평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,서울특별시 관악구 봉천로47길 7
