매물명,건물형태,방,화장실,층,전체면적,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
우주 83호점,단독주택,7개,7개,2층,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 서초구 서초중앙로22길 22-8
웨이브 쉐어하우스 건대 2호점,빌라,2개,1개,1층,11평,개별난방,없음,가능,불가능,별도협의,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 광진구 아차산로27길 57-6
자몽 셰어하우스 고척동점,단독주택,4개,2개,2층,25평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,X,X,O,O,X,X,X,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,서울특별시 구로구 중앙로 91-16
모아 문래역점,아파트,3개,2개,18층,26평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 영등포구 선유로9나길 5
홈스케치 아현1호점,빌라,3개,2개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 서대문구 북아현로20길 7
플레몬 쉐어하우스 26호점(창천동),기타,11개,3개,3층,45평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울 서대문구 연세로5가길 27
하모하우스 서강대점_여성,빌라,4개,3개,2층,42평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,O,서울특별시 마포구 백범로21길 23
캑터스 하우스 망원2호점,빌라,3개,1개,1층,14평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,O,O,X,서울특별시 마포구 포은로 97-1
셰어하우스 허브 합정 1호점,단독주택,3개,1개,,15평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,서울특별시 마포구 토정로 17-4
팸하우스 세종대 2호점(202호),빌라,2개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,서울특별시 광진구 동일로54길 6
우주 91호점,빌라,4개,4개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 성동구 송정2길 11
토닥토닥 쉐어하우스 이대점,아파트,3개,1개,2층,19평,개별난방,없음,가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 서대문구 이화여대8길 10
팸하우스 가산디지털단지점,아파트,4개,2개,,41평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 금천구 가산로 99
보더리스하우스 신도림1,아파트,3개,2개,17층,35평,개별난방,있음,알수없음,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,서울특별시 구로구 경인로 661
마주봄 쉐어하우스 합정4호점,빌라,4개,2개,1층,59평,개별난방,없음,가능,불가능,불가능,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,서울특별시 마포구 월드컵로7길 65
We Live 당산점,아파트,5개,2개,2층,45평,개별난방,있음,알수없음,불가능,불가능,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,서울특별시 영등포구 당산동5가 33-4번지
하메 쉐어하우스 목동점(신정역),빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,서울특별시 양천구 은행정로15길 19
보더리스하우스 영등포1,,4개,2개,4층,29평,개별난방,있음,알수없음,불가능,불가능,O,O,O,O,O,X,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 영등포구 선유동1로 50
쉐어하우스 비비 마포 공덕점,아파트,6개,2개,1층,49평,중앙난방,있음,,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,O,서울특별시 마포구 새창로 52
CNT홈셰어링 2호점,기타,3개,1개,4층,25평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X,O,서울특별시 서대문구 증가로 250
자다 메리골드 후암1호점,빌라,5개,3개,3층,60평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,서울특별시 용산구 후암로16길 20
MAKE901S 쉐어하우스 이대역점,아파트,3개,1개,1층,93평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,서울 서대문구 이화여대8길 10
홈스케치 성신여대점,빌라,3개,2개,4층,27평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울특별시 성북구 동소문로35길 27
젤리 쉐어하우스 이대점,빌라,3개,1개,,,개별난방,없음,불가능,가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 대흥동 42-3번지
다락 블랑하우스,빌라,3개,1개,1층,22평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 역삼로63길 13
이든 쉐어하우스 청담역점,빌라,3개,2개,4층,37평,개별난방,있음,불가능,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,서울특별시 강남구 학동로82길 14-1
바다 마포동집,아파트,5개,2개,,,알수없음,있음,가능,,불가능,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 삼개로 38
보더리스하우스 고려대1,아파트,4개,2개,8층,33평,개별난방,있음,알수없음,불가능,,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 성북구 고려대로2길 37
복덕방 압구정 1호점,빌라,2개,1개,2층,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,O,O,O,서울특별시 강남구 도산대로34길 11-6
우주 59호점,빌라,3개,2개,3층,29평,개별난방,없음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,O,O,O,서울특별시 성북구 장위로 26-7
MDP 쉐어하우스 신논현점,빌라,3개,2개,,26평,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,O,O,O,서울특별시 서초구 사평대로53길 8-1
에이블하우스 회기5호점,아파트,3개,2개,14층,23평,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 이문로12길 3-10
쉐어하우스 휴가 공덕역점,,3개,2개,,30평,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 만리재로 32
그래 군자 대학가점,빌라,3개,2개,1층,17평,개별난방,없음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,서울특별시 광진구 능동로21길 38
에덴 하우스 목동 염창역점,빌라,3개,2개,14층,18평,개별난방,없음,알수없음,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,서울특별시 양천구 목동중앙본로30길 30
청춘가 서울대입구 3호점,단독주택,3개,2개,,,알수없음,없음,알수없음,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,서울특별시 관악구 은천로28가길 59
더원 쉐어하우스 공덕역점,아파트,5개,2개,15층,18평,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,서울 마포구 만리재로 60
바다 암사동집 : 2층,기타,6개,2개,2층,,중앙난방,없음,알수없음,불가능,불가능,X,X,O,O,X,O,O,O,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,서울특별시 강동구 고덕로20다길 14-1
CS 쉐어하우스 망원 1호점,단독주택,2개,1개,1층,30평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울 마포구 월드컵로11길 30
젤리 쉐어하우스 망원점,빌라,3개,1개,,,개별난방,없음,불가능,가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 망원로4길 8
레몬트리 하우스 간석오거리점,빌라,3개,2개,2층,18평,개별난방,있음,,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,인천 남동구 남동대로934번길 19
쉐어하우스 루트 방배점,빌라,3개,1개,2층,27평,개별난방,없음,알수없음,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,서울특별시 서초구 방배로 80
짱가 남산점,빌라,3개,3개,,16평,중앙난방,알수없음,알수없음,불가능,불가능,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,서울특별시 용산구 후암로28라길 15-1
쉐어하우스 잎 부천역점,빌라,4개,2개,4층,30평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,O,X,경기 부천시 부천로65번길 52
보더리스하우스 홍대2,아파트,3개,2개,4층,44평,개별난방,없음,알수없음,불가능,불가능,O,O,O,O,O,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 동교로19길 19
잠자리 구로디지털단지 : 12호점,단독주택,3개,1개,1층,20평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,O,O,X,서울특별시 관악구 조원로11길 13
복덕방 논현1호점,빌라,3개,1개,4층,18평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 학동로20길 44
Blessing House 대화 킨텍스점,아파트,3개,1개,,24평,중앙난방,있음,,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,O,X,O,X,O,O,X,경기 고양시 일산서구 일산로 790
에이블하우스 신촌 1호점,아파트,3개,2개,1층,34평,개별난방,있음,,불가능,불가능,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,서울특별시 마포구 신수로 107
우주 81호점,빌라,3개,3개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,X,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 성동구 연무장3길 8-9
서로가 쉐어하우스 충정로점,단독주택,6개,4개,2층,51평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 중구 만리재로37길 64
우주 101호점,아파트,3개,1개,5층,18평,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 마포대로4라길 30
다락 주아하우스,기타,4개,1개,1층,24평,알수없음,없음,가능,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,서울 중랑구 중랑역로 237-1
플레몬 쉐어하우스 19호점 (연남동),빌라,2개,1개,1층,10평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,서울특별시 마포구 동교로50길 24
단담하우스 중앙대점,아파트,3개,2개,16층,33평,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,서울특별시 동작구 만양로 19
별빛하우스 201 증산동점,빌라,2개,1개,2층,20평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,X,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,서울특별시 은평구 증산로13길 28-2
플러썸스테이 명지대점(증산역),아파트,2개,1개,16층,18평,개별난방,있음,,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 서대문구 증가로 191
쉐어하우스 보통 아현점,빌라,4개,2개,3층,30평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,X,X,O,O,O,O,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,서울특별시 마포구 마포대로21길 44
우리별 포디하우스 회기별,단독주택,3개,1개,2층,18평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,X,O,O,O,X,O,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 휘경동 28-1번지
슈니하우스 건대3호점,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,X,O,O,O,X,O,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 광진구 능동로19길 7-16
카페인하우스 사가정역점(여성전용층),빌라,5개,3개,4층,26평,개별난방,있음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울특별시 중랑구 사가정로54길 31
에이블하우스 회기 7호점,아파트,3개,2개,1층,32평,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 망우로 35
우주 54호점,아파트,3개,2개,9층,26평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 성북구 동소문로44길 43
동거동락 31D호점(대학로),기타,4개,1개,1층,25평,알수없음,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,O,X,X,O,X,X,O,X,O,X,O,X,O,서울 종로구 창경궁로 248
자나 쉐어하우스 서초 잠원역점,아파트,2개,1개,11층,18평,중앙난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,X,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,서울 서초구 나루터로4길 39
응답하라2018 합정망원 여성하우스,빌라,2개,1개,,13평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,X,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 월드컵로7길 60
우주 71호점,단독주택,5개,1개,,,개별난방,없음,불가능,불가능,불가능,X,X,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,서울특별시 서대문구 연희로14길 62-37
이태원 사는 남자 이태원점,단독주택,3개,1개,1층,12평,개별난방,없음,불가능,불가능,불가능,X,X,O,X,O,X,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,서울특별시 용산구 이태원로16길 40-7
Calm&Mood 방배 23호점,빌라,33개,6개,2층,35평,중앙난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울특별시 서초구 서초대로 134
Joie de (쥬아드)셰어하우스 망원 2호점,빌라,3개,2개,4층,26평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,X,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,O,O,X,O,X,O,X,X,O,X,O,서울특별시 마포구 포은로6길 27
We Live 당산 2호점,아파트,4개,2개,8층,20평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,O,서울 영등포구 당산로 229
코방 길음역점,아파트,5개,2개,2층,38평,개별난방,있음,알수없음,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 성북구 동소문로 248
잇츠하우스 강남점,아파트,4개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 서초구 서초대로78길 44
잇츠하우스 홍대점,아파트,3개,2개,,,개별난방,있음,알수없음,불가능,불가능,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 서교동 350-1번지
레몬 1호점 주안역점,빌라,3개,1개,3층,17평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,O,X,O,O,X,X,O,O,O,인천광역시 미추홀구 주안로47번길 5
쉐어하우스 까사 사당역 3호점,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,O,X,O,O,X,X,O,O,O,서울특별시 동작구 남부순환로271길 58
순 스테이 구로디지털단지 1호점,빌라,3개,1개,3층,20평,개별난방,없음,가능,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,서울특별시 구로구 디지털로35길 16
커먼타운 압구정229,아파트,7개,3개,1층,68평,개별난방,없음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,서울특별시 강남구 압구정로32길 38
하우스로그 안암 3호점,빌라,3개,1개,1층,18평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,서울특별시 성북구 고려대로7라길 37
쉐어하우스 보통 아현 3호점,빌라,4개,2개,1층,23평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,X,O,X,O,O,O,X,서울특별시 마포구 마포대로21길 44
에이블하우스 성수 2호점,아파트,3개,2개,1층,30평,개별난방,있음,불가능,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울특별시 성동구 아차산로9길 34
Joie de (쥬아드)셰어하우스 신촌점,단독주택,3개,1개,2층,12평,중앙난방,없음,불가능,불가능,불가능,X,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,서울특별시 마포구 고산길 61
동거동락 10호 건국대점,빌라,4개,2개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 광진구 아차산로22길 36
쉐어하우스 티움 반포점,아파트,3개,1개,,22평,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,서울특별시 서초구 반포동 752번지
복덕방 청담동1호점,빌라,3개,1개,,,알수없음,없음,불가능,불가능,불가능,O,O,X,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 강남구 도산대로68길 20
쉐어필링스 서울대입구역점,빌라,3개,1개,,20평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 관악구 남부순환로216길 24
플레몬 쉐어하우스 5호점 (문래동),아파트,3개,2개,3층,25평,개별난방,있음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,서울특별시 영등포구 선유로 71
우주 58호점,아파트,4개,2개,,32평,중앙난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 동작구 매봉로 134
낭만 양천향교역점,빌라,8개,4개,1층,35평,개별난방,없음,가능,불가능,불가능,X,X,X,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,서울특별시 강서구 양천로51길 25
잠자리 구로디지털단지 : 7호점,빌라,4개,3개,3층,40평,개별난방,없음,불가능,불가능,,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 관악구 조원로6길 41-7
메리골드 셰어하우스 망원역점,빌라,3개,1개,2층,13평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O,서울특별시 마포구 월드컵로11길 17-9
별빛하우스 101 증산동점,빌라,3개,2개,1층,30평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,O,X,X,X,O,X,X,O,X,X,서울특별시 은평구 증산로13길 28-2
별자리 쉐어하우스 장승배기점,빌라,3개,1개,,18평,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,서울특별시 동작구 장승배기로19가길 26-4
동거동락 29B 연대동문점,기타,5개,2개,,18평,알수없음,있음,가능,불가능,불가능,O,X,O,X,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,서울 서대문구 봉원사2길 10-6
별빛하우스 301 증산동점,빌라,2개,1개,3층,18평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,서울특별시 은평구 증산로13길 28-2
아미띠에 쉐어하우스 마포점,빌라,3개,1개,,,개별난방,있음,가능,,불가능,O,O,O,O,X,O,O,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,서울특별시 마포구 토정로25길 11-4
하우스로그 아현 1호점,빌라,3개,1개,2층,18평,개별난방,없음,불가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울특별시 서대문구 북아현로6길 37-13
브로콜리 하우스 망원 1호점,빌라,3개,1개,2층,20평,개별난방,없음,불가능,불가능,불가능,O,O,O,O,X,O,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,서울특별시 마포구 월드컵로21길 38
청년 쉐어하우스 합정점,빌라,4개,2개,,,개별난방,알수없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 마포구 포은로2가길 29
베프 쉐어하우스 주안역점,빌라,3개,1개,3층,25평,개별난방,없음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,O,X,X,인천광역시 미추홀구 주안로 65-1
우주 24호점,아파트,3개,2개,,,개별난방,있음,가능,불가능,불가능,X,X,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,서울특별시 성북구 낙산길 255
바다 합정동집 2호,빌라,3개,1개,2층,,알수없음,없음,알수없음,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 동교로16길 20-8
커먼타운 압구정 022,아파트,5개,2개,10층,44평,중앙난방,있음,가능,불가능,불가능,O,X,O,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,O,서울특별시 강남구 압구정로29길 71
보더리스하우스 홍대1,빌라,3개,2개,4층,27평,개별난방,있음,불가능,불가능,불가능,O,O,O,O,X,X,O,O,O,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 독막로 11-5
올리브 쉐어하우스 신림역 1호점,빌라,3개,1개,1층,20평,중앙난방,없음,가능,불가능,불가능,O,O,O,O,X,X,O,O,O,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,서울특별시 관악구 남부순환로168길 11
더합 쉐어하우스 합정점,빌라,3개,2개,4층,19평,개별난방,없음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,서울 마포구 독막로3길 28-10
