매물명,성별전용,면적(㎡), 보증금(원) , 월세(원) ,인실(명),만실,건물형태,방(개),화장실(개),층,총층,전체면적(㎡),전체평수,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
그린 엔틱 하우스,여,15,"1,000,000","480,000",1,O,빌라,3,1,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,서울특별시 관악구 봉천로49길 12
그린 엔틱 하우스,여,6.6,"1,000,000","470,000",1,O,빌라,3,1,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,서울특별시 관악구 봉천로49길 12
그린 엔틱 하우스,여,11.5,"1,000,000","430,000",2,X,빌라,3,1,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,서울특별시 관악구 봉천로49길 12
꽃송이가家 망원합정점,여,,"1,000,000","500,000",1,X,빌라,3,2,,,110.79,34,개별난방,없음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 희우정로 46
꽃송이가家 망원합정점,여,,"820,000","410,000",2,X,빌라,3,2,,,110.79,34,개별난방,없음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 희우정로 46
꽃송이가家 망원합정점,여,,"800,000","390,000",2,X,빌라,3,2,,,110.79,34,개별난방,없음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 희우정로 46
쉐어하우스 플라이데어 마포구청역점,여,,"800,000","400,000",2,O,빌라,3,1,2,3,78,24,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,서울 마포구 성산로2길 21035
쉐어하우스 플라이데어 마포구청역점,여,,"800,000","400,000",2,O,빌라,3,1,2,3,78,24,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,서울 마포구 성산로2길 21035
쉐어하우스 플라이데어 마포구청역점,여,,"1,100,000","550,000",1,O,빌라,3,1,2,3,78,24,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,서울 마포구 성산로2길 21035
우주 51호점,여,7,"900,000","370,000",2,O,아파트,4,3,,,,,개별난방,있음,가능,불가능,불가능,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,서울특별시 관악구 남부순환로226길 28
우주 51호점,여,9,"880,000","360,000",3,X,아파트,4,3,,,,,개별난방,있음,가능,불가능,불가능,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,서울특별시 관악구 남부순환로226길 28
우주 51호점,여,8,"940,000","390,000",2,O,아파트,4,3,,,,,개별난방,있음,가능,불가능,불가능,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,서울특별시 관악구 남부순환로226길 28
우주 51호점,여,6,"1,040,000","440,000",1,X,아파트,4,3,,,,,개별난방,있음,가능,불가능,불가능,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,서울특별시 관악구 남부순환로226길 28
쉐어필링스 선릉역지점,여,9,"1,000,000","520,000",1,X,빌라,3,1,,,66,20,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 선릉로68길 33
쉐어필링스 선릉역지점,여,6,"1,000,000","440,000",1,X,빌라,3,1,,,66,20,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 선릉로68길 33
쉐어필링스 선릉역지점,여,12,"1,000,000","400,000",2,X,빌라,3,1,,,66,20,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 선릉로68길 33
에이블하우스 성수 1호점,남,8.9,"3,000,000","530,000",1,O,아파트,3,1,1,23,99,30,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,서울특별시 성동구 상원길 63
에이블하우스 성수 1호점,남,10,"3,000,000","430,000",2,O,아파트,3,1,1,23,99,30,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,서울특별시 성동구 상원길 63
에이블하우스 성수 1호점,남,17.5,"3,000,000","360,000",3,O,아파트,3,1,1,23,99,30,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,서울특별시 성동구 상원길 63
동그라미 쉐어하우스 논현2호점,남,9.9,"500,000","450,000",1,X,빌라,4,1,,,49.58,15,개별난방,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 봉은사로1길 42022
동그라미 쉐어하우스 논현2호점,남,12,"500,000","300,000",1,X,빌라,4,1,,,49.58,15,개별난방,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 봉은사로1길 42022
동그라미 쉐어하우스 논현2호점,남,15,"500,000","550,000",1,X,빌라,4,1,,,49.58,15,개별난방,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 봉은사로1길 42022
동그라미 쉐어하우스 논현2호점,남,9,"500,000","420,000",1,X,빌라,4,1,,,49.58,15,개별난방,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 봉은사로1길 42022
에이블하우스 정릉 1호점,여,13,"1,000,000","520,000",1,X,아파트,3,2,1,3,70,21,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,O,X,O,서울 성북구 아리랑로19길 52
에이블하우스 정릉 1호점,여,11,"1,000,000","520,000",1,O,아파트,3,2,1,3,70,21,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,O,X,O,서울 성북구 아리랑로19길 52
에이블하우스 정릉 1호점,여,23,"1,000,000","420,000",2,X,아파트,3,2,1,3,70,21,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,O,X,O,서울 성북구 아리랑로19길 52
젤리 쉐어하우스 청담점,여,11,"1,000,000","440,000",1,X,빌라,3,1,,,,,개별난방,없음,불가능,가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,O,X,O,서울특별시 강남구 선릉로132길 306
젤리 쉐어하우스 청담점,여,7,"6,000,000","430,000",1,X,빌라,3,1,,,,,개별난방,없음,불가능,가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,O,X,O,서울특별시 강남구 선릉로132길 306
젤리 쉐어하우스 청담점,여,7,"6,000,000","430,000",1,X,빌라,3,1,,,,,개별난방,없음,불가능,가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,O,X,O,서울특별시 강남구 선릉로132길 306
핀휠 쉐어하우스 이대3호점(여성),여,15,"900,000","430,000",1,X,빌라,3,1,3,5,90,27,알수없음,없음,불가능,불가능,가능,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,O,O,서울특별시 서대문구 신촌로29나길 3
핀휠 쉐어하우스 이대3호점(여성),여,20,"800,000","330,000",2,X,빌라,3,1,3,5,90,27,알수없음,없음,불가능,불가능,가능,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,O,O,서울특별시 서대문구 신촌로29나길 3
핀휠 쉐어하우스 이대3호점(여성),여,30,"800,000","330,000",3,X,빌라,3,1,3,5,90,27,알수없음,없음,불가능,불가능,가능,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,O,O,서울특별시 서대문구 신촌로29나길 3
피츠 쉐어하우스 연남동 1호점,여,16.5,"270,000","270,000",3,O,빌라,3,2,5,5,60.47,18,개별난방,없음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O,X,O,서울특별시 마포구 연남로3길 46015
피츠 쉐어하우스 연남동 1호점,여,8.2,"480,000","480,000",1,O,빌라,3,2,5,5,60.47,18,개별난방,없음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O,X,O,서울특별시 마포구 연남로3길 46015
피츠 쉐어하우스 연남동 1호점,여,8.26,"470,000","470,000",1,O,빌라,3,2,5,5,60.47,18,개별난방,없음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O,X,O,서울특별시 마포구 연남로3길 46015
