매물명,성별전용,면적(㎡), 보증금(원) , 월세(원) ,인실(명),만실,건물형태,방(개),화장실(개),층,총층,전체면적(㎡),전체평수,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
제인스하우스 공덕점,여,23,"500,000","260,000",4,O,아파트,4,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,O,서울특별시 마포구 새창로 52
제인스하우스 공덕점,여,16,"600,000","300,000",3,O,아파트,4,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,O,서울특별시 마포구 새창로 52
제인스하우스 공덕점,여,15,"360,000","720,000",2,X,아파트,4,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,O,서울특별시 마포구 새창로 52
제인스하우스 공덕점,여,13,"920,000","460,000",1,X,아파트,4,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,O,X,O,서울특별시 마포구 새창로 52
그린 서울대입구역점,여,9.9,"1,000,000","400,000",1,X,빌라,3,1,2,4,50,15,개별난방,없음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 관악구 행운1다길 31
그린 서울대입구역점,여,13.2,"1,000,000","350,000",2,X,빌라,3,1,2,4,50,15,개별난방,없음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 관악구 행운1다길 31
그린 서울대입구역점,여,13.2,"1,000,000","450,000",1,O,빌라,3,1,2,4,50,15,개별난방,없음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 관악구 행운1다길 31
우주 74호점,남,,"1,260,000","550,000",1,X,빌라,2,1,,,,,개별난방,없음,불가능,불가능,불가능,X,X,O,X,O,X,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 개포동 124807번지
우주 74호점,남,,"1,000,000","420,000",2,O,빌라,2,1,,,,,개별난방,없음,불가능,불가능,불가능,X,X,O,X,O,X,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 개포동 124807번지
아이엠하우스 홍대 2호점,여,,"800,000","420,000",2,X,빌라,3,1,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 양화로23길 4012
아이엠하우스 홍대 2호점,여,,"800,000","560,000",1,X,빌라,3,1,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 양화로23길 4012
아이엠하우스 홍대 2호점,여,,"800,000","510,000",1,X,빌라,3,1,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 양화로23길 4012
동네친구 5호점,여,9.9,"800,000","400,000",1,X,빌라,3,1,,,66.12,20,개별난방,알수없음,알수없음,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,서울특별시 광진구 능동로16길 48
동네친구 5호점,여,13.2,"760,000","380,000",2,X,빌라,3,1,,,66.12,20,개별난방,알수없음,알수없음,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,서울특별시 광진구 능동로16길 48
동네친구 5호점,여,16.5,"720,000","360,000",3,X,빌라,3,1,,,66.12,20,개별난방,알수없음,알수없음,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,서울특별시 광진구 능동로16길 48
바다 합정동집 1호,여,12.9,"860,000","430,000",2,O,빌라,3,1,,,,,알수없음,없음,알수없음,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 동교로16길 2008
바다 합정동집 1호,여,7.7,"980,000","490,000",1,O,빌라,3,1,,,,,알수없음,없음,알수없음,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 동교로16길 2008
바다 합정동집 1호,여,5.5,"940,000","470,000",1,O,빌라,3,1,,,,,알수없음,없음,알수없음,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 동교로16길 2008
올리브 쉐어하우스 신림역 1호점,여,6.6,"900,000","430,000",1,O,빌라,3,1,1,3,64.5,20,중앙난방,없음,가능,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 관악구 남부순환로168길 11
올리브 쉐어하우스 신림역 1호점,여,6.6,"900,000","430,000",1,O,빌라,3,1,1,3,64.5,20,중앙난방,없음,가능,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 관악구 남부순환로168길 11
올리브 쉐어하우스 신림역 1호점,여,13.2,"350,000","350,000",2,O,빌라,3,1,1,3,64.5,20,중앙난방,없음,가능,불가능,불가능,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 관악구 남부순환로168길 11
우주 80호점,여,11.6,"1,140,000","490,000",1,X,빌라,4,1,1,3,60,18,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 망우로18가길 52
우주 80호점,여,15.1,"920,000","380,000",2,X,빌라,4,1,1,3,60,18,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 망우로18가길 52
우주 80호점,여,12.2,"1,140,000","490,000",1,O,빌라,4,1,1,3,60,18,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 망우로18가길 52
우주 80호점,여,8.4,"1,040,000","440,000",1,X,빌라,4,1,1,3,60,18,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 망우로18가길 52
동거동락 21호 청담점,여,11.4,"960,000","430,000",2,O,빌라,4,2,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 학동로67길 20
동거동락 21호 청담점,여,5.6,"1,120,000","460,000",1,X,빌라,4,2,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 학동로67길 20
동거동락 21호 청담점,여,6.8,"1,150,000","525,000",1,X,빌라,4,2,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 학동로67길 20
동거동락 21호 청담점,여,10.1,"1,160,000","530,000",1,O,빌라,4,2,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 강남구 학동로67길 20
품안의 새 나르샤_신림역,여,7.4,"1,060,000","530,000",1,X,아파트,4,3,19,2,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,O,O,O,서울특별시 관악구 신림로 318
품안의 새 나르샤_신림역,여,13.3,"900,000","450,000",2,O,아파트,4,3,19,2,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,O,O,O,서울특별시 관악구 신림로 318
품안의 새 나르샤_신림역,여,10.2,"800,000","400,000",3,X,아파트,4,3,19,2,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,O,O,O,서울특별시 관악구 신림로 318
품안의 새 나르샤_신림역,여,16.5,"700,000","350,000",4,X,아파트,4,3,19,2,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,O,O,X,X,X,X,X,O,O,O,서울특별시 관악구 신림로 318
바다 문래동집 2호,여,12,"1,140,000","570,000",2,X,아파트,4,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 영등포구 선유로17길 24
바다 문래동집 2호,여,14,"860,000","430,000",2,X,아파트,4,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 영등포구 선유로17길 24
바다 문래동집 2호,여,9.5,"1,040,000","520,000",1,X,아파트,4,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 영등포구 선유로17길 24
바다 문래동집 2호,여,10,"1,100,000","550,000",1,X,아파트,4,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 영등포구 선유로17길 24
로라 쉐어하우스 부평구청역점,여,7.5,"800,000","330,000",1,X,오피스텔,3,2,10,6,61.66,19,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X,인천광역시 부평구 길주남로6번길 15
로라 쉐어하우스 부평구청역점,여,7.5,"800,000","320,000",1,X,오피스텔,3,2,10,6,61.66,19,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X,인천광역시 부평구 길주남로6번길 15
로라 쉐어하우스 부평구청역점,여,12,"800,000","260,000",2,X,오피스텔,3,2,10,6,61.66,19,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X,인천광역시 부평구 길주남로6번길 15
복덕방 청담동1호점,여,16.5,"1,000,000","580,000",1,X,빌라,3,1,,,,,알수없음,없음,불가능,불가능,불가능,O,O,X,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 강남구 도산대로68길 20
복덕방 청담동1호점,여,15.3,"1,000,000","530,000",1,X,빌라,3,1,,,,,알수없음,없음,불가능,불가능,불가능,O,O,X,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 강남구 도산대로68길 20
복덕방 청담동1호점,여,23.1,"900,000","430,000",2,X,빌라,3,1,,,,,알수없음,없음,불가능,불가능,불가능,O,O,X,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 강남구 도산대로68길 20
자다 메리골드 후암1호점,여,,"700,000","350,000",3,O,빌라,5,3,3,4,198,60,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,서울특별시 용산구 후암로16길 20
자다 메리골드 후암1호점,여,,"980,000","490,000",1,X,빌라,5,3,3,4,198,60,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,서울특별시 용산구 후암로16길 20
자다 메리골드 후암1호점,여,,"980,000","490,000",1,O,빌라,5,3,3,4,198,60,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,서울특별시 용산구 후암로16길 20
자다 메리골드 후암1호점,여,,"840,000","420,000",2,O,빌라,5,3,3,4,198,60,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,서울특별시 용산구 후암로16길 20
자다 메리골드 후암1호점,여,,"1,100,000","550,000",1,O,빌라,5,3,3,4,198,60,개별난방,있음,가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,서울특별시 용산구 후암로16길 20
선녀방 신대방점,여,10.5,"800,000","420,000",2,X,빌라,3,2,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 동작구 국사봉8길 21010
선녀방 신대방점,여,7,"1,100,000","550,000",1,X,빌라,3,2,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 동작구 국사봉8길 21010
선녀방 신대방점,여,6.5,"600,000","330,000",2,X,빌라,3,2,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 동작구 국사봉8길 21010
이너프하우스 사당점,여,8.5,"1,000,000","500,000",1,X,빌라,3,1,3,3,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 동작구 동작대로9길 35
이너프하우스 사당점,여,6.5,"1,000,000","480,000",1,X,빌라,3,1,3,3,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 동작구 동작대로9길 35
이너프하우스 사당점,여,6.5,"1,000,000","480,000",1,X,빌라,3,1,3,3,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 동작구 동작대로9길 35
잠자리 성신여대 : 5호점,여,9.9,"900,000","450,000",1,X,빌라,3,1,3,4,59.42,18,개별난방,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 성북구 동소문로25길 606
잠자리 성신여대 : 5호점,여,13.2,"900,000","470,000",1,X,빌라,3,1,3,4,59.42,18,개별난방,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 성북구 동소문로25길 606
잠자리 성신여대 : 5호점,여,26.4,"740,000","370,000",2,X,빌라,3,1,3,4,59.42,18,개별난방,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 성북구 동소문로25길 606
팸하우스 충무로점,여,,"1,000,000","420,000",1,X,빌라,10,8,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 중구 퇴계로36가길 9006
팸하우스 충무로점,여,,"1,000,000","390,000",2,X,빌라,10,8,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 중구 퇴계로36가길 9006
팸하우스 충무로점,여,,"1,000,000","460,000",1,X,빌라,10,8,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 중구 퇴계로36가길 9006
팸하우스 충무로점,여,,"1,000,000","460,000",1,X,빌라,10,8,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 중구 퇴계로36가길 9006
팸하우스 충무로점,여,,"1,000,000","490,000",1,X,빌라,10,8,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 중구 퇴계로36가길 9006
팸하우스 충무로점,여,,"1,000,000","450,000",2,X,빌라,10,8,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 중구 퇴계로36가길 9006
팸하우스 충무로점,여,,"1,000,000","340,000",4,X,빌라,10,8,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 중구 퇴계로36가길 9006
팸하우스 충무로점,여,,"1,000,000","410,000",2,X,빌라,10,8,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 중구 퇴계로36가길 9006
팸하우스 충무로점,여,,"1,000,000","490,000",1,X,빌라,10,8,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 중구 퇴계로36가길 9006
팸하우스 충무로점,여,,"1,000,000","400,000",2,X,빌라,10,8,,,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 중구 퇴계로36가길 9006
코코쉐어하우스 효창동점,여,21,"1,000,000","300,000",4,X,아파트,3,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 용산구 효창원로70길 34
코코쉐어하우스 효창동점,여,18,"1,000,000","330,000",3,X,아파트,3,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 용산구 효창원로70길 34
코코쉐어하우스 효창동점,여,18,"1,000,000","400,000",2,X,아파트,3,2,,,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,서울특별시 용산구 효창원로70길 34
복덕방 압구정 1호점,여,16.6,"900,000","570,000",1,X,빌라,2,1,2,4,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,O,O,O,서울특별시 강남구 도산대로34길 1106
복덕방 압구정 1호점,여,23.2,"900,000","450,000",2,X,빌라,2,1,2,4,,,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,O,O,O,서울특별시 강남구 도산대로34길 1106
양드레하우스 강남점,여,6.6,"1,000,000","520,000",1,O,빌라,7,2,,,410,124,중앙난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 봉은사로21길 5707
양드레하우스 강남점,여,6.6,"1,000,000","550,000",1,O,빌라,7,2,,,410,124,중앙난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 봉은사로21길 5707
양드레하우스 강남점,여,10,"1,000,000","400,000",2,O,빌라,7,2,,,410,124,중앙난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 봉은사로21길 5707
양드레하우스 강남점,여,16.5,"1,000,000","430,000",2,O,빌라,7,2,,,410,124,중앙난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 봉은사로21길 5707
양드레하우스 강남점,여,10,"1,000,000","430,000",1,X,빌라,7,2,,,410,124,중앙난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 봉은사로21길 5707
양드레하우스 강남점,여,13.2,"1,000,000","450,000",1,X,빌라,7,2,,,410,124,중앙난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 봉은사로21길 5707
양드레하우스 강남점,여,16.5,"1,000,000","490,000",1,O,빌라,7,2,,,410,124,중앙난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,서울특별시 강남구 봉은사로21길 5707
온더로드 쉐어하우스 대학로점,여,9.9,"1,020,000","450,000",1,O,빌라,4,2,5,5,90.3,27,개별난방,있음,가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 종로구 동숭 4가길 31
온더로드 쉐어하우스 대학로점,여,13.2,"900,000","360,000",2,O,빌라,4,2,5,5,90.3,27,개별난방,있음,가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 종로구 동숭 4가길 31
온더로드 쉐어하우스 대학로점,여,14.9,"900,000","370,000",2,X,빌라,4,2,5,5,90.3,27,개별난방,있음,가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 종로구 동숭 4가길 31
온더로드 쉐어하우스 대학로점,여,16.5,"800,000","310,000",3,O,빌라,4,2,5,5,90.3,27,개별난방,있음,가능,불가능,불가능,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,서울 종로구 동숭 4가길 31
쉐어하우스 이층집 건대역 2호점,여,6,"1,000,000","460,000",1,O,단독주택,5,1,2,3,90,27,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 광진구 동일로26길 62
쉐어하우스 이층집 건대역 2호점,여,19,"1,000,000","350,000",3,X,단독주택,5,1,2,3,90,27,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 광진구 동일로26길 62
쉐어하우스 이층집 건대역 2호점,여,5,"1,000,000","460,000",1,O,단독주택,5,1,2,3,90,27,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 광진구 동일로26길 62
쉐어하우스 이층집 건대역 2호점,여,10.5,"1,000,000","360,000",2,O,단독주택,5,1,2,3,90,27,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 광진구 동일로26길 62
쉐어하우스 이층집 건대역 2호점,여,5.6,"1,000,000","460,000",1,O,단독주택,5,1,2,3,90,27,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 광진구 동일로26길 62
청춘가 서울대입구 3호점,여,,"980,000","490,000",2,X,단독주택,3,2,,,,,알수없음,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 관악구 은천로28가길 59
청춘가 서울대입구 3호점,여,,"1,120,000","560,000",1,X,단독주택,3,2,,,,,알수없음,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 관악구 은천로28가길 59
청춘가 서울대입구 3호점,여,,"1,060,000","530,000",1,X,단독주택,3,2,,,,,알수없음,없음,알수없음,불가능,불가능,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,서울특별시 관악구 은천로28가길 59
동거동락 17호 경복궁역점,여,7.2,"1,160,000","540,000",1,O,단독주택,6,2,,,,,알수없음,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 종로구 효자로9길 26
동거동락 17호 경복궁역점,여,13.1,"1,000,000","460,000",2,O,단독주택,6,2,,,,,알수없음,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,서울특별시 종로구 효자로9길 26
