업체명,지점명,성별전용,보증금,월세,인실
쉐어필링스,서울대입구역점,남성전용,200만원,52만원,1인실
달램쉐어하우스,신대방점,여성전용,1000만원,27만원,1인실
자몽 셰어하우스,군자점,남성전용,300만원,38만원,1인실
카페인하우스,사가정역점,남성전용,76만원,38만원,2인실
카페인하우스,사가정역점,여성전용,76만원,38만원,2인실
품안의 새,나르샤_신림역 4인실,여성전용,70만원,35만원,4인실
품안의 새,어번_신림역 Room ImB,여성전용,70만원,35만원,4인실
하품 (하우스 꿈을 품다),1호점,남성전용,1000만원,64만원,1인실
품안의 새,쎄라픽_봉천역 Room ImB,여성전용,76만원,38만원,2인실
원앤원하우스,건대_세종대점,여성전용,150만원,33만원,3인실
동네친구,9호점,여성전용,104만원,52만원,1인실
함께꿈꾸는마을,군자대공원 Room C,여성전용,78만원,39만원,2인실
시작(SIZAK)쉐어하우스,이수/남성점,여성전용,80만원,47만원,1인실
에이블하우스,관악 2호점,여성전용,300만원,43만원,2인실
에이블하우스,관악 4호점,여성전용,300만원,43만원,2인실
동네친구,7호점,여성전용,86만원,43만원,1인실
우주,28호점,남성전용,90만원,37만원,2인실
우주,30호점,여성전용,82만원,33만원,2인실
우주,33호점,여성전용,94만원,39만원,2인실
우주,51호점,여성전용,104만원,44만원,1인실
우주,82호점,남성전용,94만원,39만원,1인실
우주,83호점,여성전용,110만원,47만원,1인실
우주,84호점,여성전용,114만원,49만원,1인실
젤리 쉐어하우스,봉천점,여성전용,600만원,29만원,2인실
에이블하우스,관악 3호점,여성전용,300만원,43만원,2인실
Little brown House,신림점,여성전용,80만원,45만원,1인실
(남성전용)라임 스페이스,역삼점,남성전용,50만원,52만원,1인실
올리브 쉐어하우스,신림역 1호점,여성전용,35만원,35만원,2인실
MOVHOUSE,강남DELUXE점,여성전용,150만원,58만원,1인실
도란도란하우스,사당점,여성전용,100만원,46만원,1인실
Sharehouse Cine,루프탑 건대점,여성전용,80만원,39만원,2인실
쉐어하우스 까사,사당역 3호점,여성전용,100만원,53만원,1인실
쉐어하우스 까사,사당역 2호점,여성전용,100만원,50만원,1인실
잠자리,신대방 : 3호점,여성전용,94만원,47만원,1인실
미카사 하우스,1호 봉천 3인실(3),여성전용,70만원,28만원,3인실
세기 하우스,봉천점,여성전용,80만원,40만원,1인실
편안한家 쉐어하우스,자양점,여성전용,100만원,45만원,1인실
핀휠 쉐어하우스,대림점,여성전용,90만원,43만원,1인실
팸하우스,건대 4호점,남성전용,100만원,31만원,3인실
팸하우스,건대 1호점,여성전용,100만원,34만원,3인실
Singles ( 싱글즈 ),강남하우스 B룸,여성전용,200만원,55만원,2인실
잠자리,구로디지털단지 : 12호점,여성전용,90만원,45만원,1인실
바다유,7호 서울대입구역점,여성전용,90만원,45만원,1인실
홈트리,신도림점,성별무관,60만원,37만원,1인실
우주,18호점,여성전용,92만원,39만원,2인실
양드레하우스,군자1호점,여성전용,100만원,40만원,2인실
