매물명,성별전용,면적,보증금,월세,인실,만실,건물형태,방,화장실,층,전체면적,난방방식,승강기,주차,반려동물,흡연,조리도구,식기류,전자레인지,전기포트,에어컨,정수기,세탁기,식탁,청소기,신발장,냉장고,와이파이,커피포트,수납함,청소서비스,의자,분리수거함,가스레인지,토스터,TV,소파,다리미,커튼,소독,전신거울,빨래건조대,옷장,테라스,밥솥,스탠드,건조기,도로명주소
에이블하우스 성수 3호점,남성전용,9㎡,300만원,43만원,2인실,O,아파트,3개,2개,1층,94㎡,개별난방,있음,불가능,불가능,불가능,O,O,X,X,O,X,X,O,O,O,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,서울 성동구 광나루로6길 7-1
셰어하우스 인연 고대점,여성전용,10.8㎡,55만원,55만원,1인실,O,아파트,4개,2개,,144.88㎡,개별난방,있음,가능,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,O,서울특별시 동대문구 고산자로 534
셰어하우스 인연 고대점,여성전용,8.1㎡,50만원,50만원,1인실,O,아파트,4개,2개,,144.88㎡,개별난방,있음,가능,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,O,서울특별시 동대문구 고산자로 534
셰어하우스 인연 고대점,여성전용,16.4㎡,47만원,47만원,2인실,O,아파트,4개,2개,,144.88㎡,개별난방,있음,가능,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,O,서울특별시 동대문구 고산자로 534
셰어하우스 인연 고대점,여성전용,11.7㎡,38만원,38만원,2인실,O,아파트,4개,2개,,144.88㎡,개별난방,있음,가능,불가능,불가능,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,O,서울특별시 동대문구 고산자로 534
보더리스하우스 상수1,성별무관,8㎡,50만원,52만원,1인실,X,단독주택,9개,6개,,173㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 와우산로22길 74
보더리스하우스 상수1,성별무관,13.5㎡,50만원,42만원,2인실,X,단독주택,9개,6개,,173㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 와우산로22길 74
보더리스하우스 상수1,성별무관,9㎡,50만원,65만원,1인실,X,단독주택,9개,6개,,173㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 와우산로22길 74
보더리스하우스 상수1,성별무관,12.5㎡,50만원,50만원,2인실,X,단독주택,9개,6개,,173㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 와우산로22길 74
보더리스하우스 상수1,성별무관,12.5㎡,50만원,55만원,2인실,X,단독주택,9개,6개,,173㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 와우산로22길 74
보더리스하우스 상수1,성별무관,9㎡,50만원,65만원,1인실,X,단독주택,9개,6개,,173㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 와우산로22길 74
보더리스하우스 상수1,성별무관,9㎡,50만원,65만원,1인실,X,단독주택,9개,6개,,173㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 와우산로22길 74
보더리스하우스 상수1,성별무관,10㎡,50만원,46만원,2인실,X,단독주택,9개,6개,,173㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 와우산로22길 74
보더리스하우스 상수1,여성전용,15.5㎡,50만원,40만원,3인실,X,단독주택,9개,6개,,173㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 마포구 와우산로22길 74
쉐어하우스 보통 아현 3호점,여성전용,6㎡,106만원,53만원,1인실,X,빌라,4개,2개,1층,76㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,X,O,X,O,O,O,X,서울특별시 마포구 마포대로21길 44
쉐어하우스 보통 아현 3호점,여성전용,12㎡,70만원,32만원,3인실,X,빌라,4개,2개,1층,76㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,X,O,X,O,O,O,X,서울특별시 마포구 마포대로21길 44
쉐어하우스 보통 아현 3호점,여성전용,5㎡,106만원,51만원,1인실,X,빌라,4개,2개,1층,76㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,X,O,X,O,O,O,X,서울특별시 마포구 마포대로21길 44
쉐어하우스 보통 아현 3호점,여성전용,6.5㎡,110만원,55만원,1인실,O,빌라,4개,2개,1층,76㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,X,O,X,O,O,O,X,서울특별시 마포구 마포대로21길 44
애플트리 쉐어하우스 미아사거리역 2호점,남성전용,20㎡,50만원,36만원,1인실,X,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O,서울특별시 강북구 도봉로4길 35
애플트리 쉐어하우스 미아사거리역 2호점,남성전용,20㎡,50만원,36만원,1인실,O,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O,서울특별시 강북구 도봉로4길 35
애플트리 쉐어하우스 미아사거리역 2호점,남성전용,40㎡,50만원,29만원,2인실,O,빌라,3개,1개,,,개별난방,없음,불가능,불가능,불가능,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O,서울특별시 강북구 도봉로4길 35
우주 30호점,여성전용,7㎡,106만원,45만원,1인실,O,아파트,3개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,서울특별시 관악구 남부순환로226길 28
우주 30호점,여성전용,8㎡,86만원,35만원,2인실,O,아파트,3개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,서울특별시 관악구 남부순환로226길 28
우주 30호점,여성전용,8㎡,82만원,33만원,2인실,X,아파트,3개,2개,,,개별난방,있음,가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,서울특별시 관악구 남부순환로226길 28
보더리스하우스 청량리1,남성전용,15.5㎡,50만원,46만원,2인실,X,빌라,4개,3개,3층,183㎡,개별난방,없음,알수없음,불가능,불가능,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 전농동 206-62번지
보더리스하우스 청량리1,남성전용,8.6㎡,50만원,59만원,1인실,X,빌라,4개,3개,3층,183㎡,개별난방,없음,알수없음,불가능,불가능,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 전농동 206-62번지
보더리스하우스 청량리1,여성전용,13.8㎡,50만원,43만원,2인실,X,빌라,4개,3개,3층,183㎡,개별난방,없음,알수없음,불가능,불가능,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 전농동 206-62번지
보더리스하우스 청량리1,여성전용,23㎡,50만원,35만원,4인실,X,빌라,4개,3개,3층,183㎡,개별난방,없음,알수없음,불가능,불가능,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 전농동 206-62번지
쉐어하우스 하루 고려대점,여성전용,12.6㎡,48만원,48만원,1인실,O,아파트,4개,2개,6층,114㎡,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 고산자로 534
쉐어하우스 하루 고려대점,여성전용,15.9㎡,39만원,39만원,2인실,O,아파트,4개,2개,6층,114㎡,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 고산자로 534
쉐어하우스 하루 고려대점,여성전용,11.9㎡,36만원,36만원,2인실,O,아파트,4개,2개,6층,114㎡,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 고산자로 534
쉐어하우스 하루 고려대점,여성전용,16.5㎡,34만원,34만원,3인실,O,아파트,4개,2개,6층,114㎡,개별난방,있음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 고산자로 534
노란숲 혜화 국제관점,여성전용,6㎡,150만원,55만원,1인실,O,빌라,4개,2개,3층,61㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,O,서울 종로구 성균관로7길 9-6
노란숲 혜화 국제관점,여성전용,6㎡,150만원,54만원,1인실,O,빌라,4개,2개,3층,61㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,O,서울 종로구 성균관로7길 9-6
노란숲 혜화 국제관점,여성전용,5㎡,150만원,52만원,1인실,X,빌라,4개,2개,3층,61㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,O,서울 종로구 성균관로7길 9-6
노란숲 혜화 국제관점,여성전용,10㎡,150만원,43만원,2인실,X,빌라,4개,2개,3층,61㎡,개별난방,없음,불가능,불가능,불가능,O,O,O,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,O,서울 종로구 성균관로7길 9-6
보더리스하우스 왕십리1,여성전용,13㎡,50만원,48만원,2인실,X,아파트,3개,2개,14층,110㎡,개별난방,있음,알수없음,,,O,O,O,O,O,X,O,O,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,서울특별시 동대문구 청계천로 471
